"id","Marka_pojazdu","Model_pojazdu","Rok_produkcji","Przebieg","Pojemność_skokowa","Rodzaj_paliwa","Moc","Typ_nadwozia","Kolor","Cena"
"417","Seat","Exeo","2010","248 000 km","1 968 cm3","Diesel","120 KM","Sedan","Biały","24900"
"418","Volkswagen","Golf Plus","2005","255 000 km","1 896 cm3","Diesel","105 KM","Minivan","Granatowy","16900"
"419","Volkswagen","Passat","2000","365 812 km","1 781 cm3","Benzyna+LPG","150 KM","Kombi","Niebieski","4500"
"420","Mazda","626","2001","269 762 km","1 840 cm3","Benzyna","100 KM","Sedan","Zielony","5500"
"421","Audi","A3","2004","239 000 km","1 984 cm3","Benzyna","150 KM","Kompakt","Niebieski","14500"
"422","Mercedes-Benz","Klasa E","2004","278 000 km","2 148 cm3","Diesel","150 KM","Sedan","Niebieski","18900"
"423","Volkswagen","Passat","2011","280 000 km","1 968 cm3","Diesel","140 KM","Kombi","Czarny","36800"
"424","Volvo","XC 90","2020","40 000 km","1 969 cm3","Diesel","235 KM","SUV","Biały","299000"
"425","Peugeot","208","2013","198 000 km","1 398 cm3","Diesel","68 KM","Auta miejskie","Szary","23900"
"426","Volkswagen","Golf","2011","175 000 km","1 598 cm3","Diesel","105 KM","Kompakt","Granatowy","30900"
"427","BMW","X1","2009","190 000 km","1 995 cm3","Diesel","177 KM","SUV","Brązowy","44900"
"428","Chrysler","Grand Voyager","2007","265 000 km","3 301 cm3","Benzyna+LPG","174 KM","Minivan","Srebrny","24900"
"429","Suzuki","Grand Vitara","2004","276 807 km","1 590 cm3","Benzyna","94 KM","SUV","Srebrny","15000"
"430","Hyundai","Tucson","2008","2 230 000 km","1 975 cm3","Benzyna","141 KM","SUV","Czarny","18900"
"431","Seat","Altea","2004","320 000 km","1 984 cm3","Benzyna","150 KM","Minivan","Beżowy","12500"
"432","Fiat","Bravo","2008","266 200 km","1 910 cm3","Diesel","120 KM","Kompakt","Szary","15900"
"433","BMW","X3","2005","274 000 km","1 995 cm3","Diesel","150 KM","SUV","Czarny","22500"
"434","Citroën","Berlingo","2013","224 488 km","1 560 cm3","Diesel","92 KM","Minivan","Brązowy","33900"
"435","Suzuki","Grand Vitara","2007","125 000 km","1 586 cm3","Benzyna","106 KM","SUV","Szary","31500"
"436","Ford","Tourneo Courier","2017","169 973 km","1 499 cm3","Diesel","95 KM","Minivan","Biały","41500"
"437","Opel","Insignia","2009","175 714 km","1 956 cm3","Diesel","131 KM","Kombi","Czarny","25000"
"438","Opel","Astra","2017","176 500 km","1 598 cm3","Diesel","110 KM","Kombi","Inny kolor","42700"
"439","Honda","Civic","1998","139 000 km","1 596 cm3","Benzyna","115 KM","Kombi","Fioletowy","9900"
"440","Toyota","Yaris","2022","1 km","1 497 cm3","Hybryda","92 KM","Auta miejskie","Szary","95000"
"441","Cadillac","BLS","2008","291 000 km","1 998 cm3","Benzyna+LPG","175 KM","Sedan","Czarny","16700"
"442","Opel","Astra","2010","165 000 km","1 364 cm3","Benzyna","140 KM","Kompakt","Czarny","27900"
"443","Mitsubishi","Lancer","2008","230 000 km","1 499 cm3","Benzyna","109 KM","Sedan","Szary","21900"
"444","Audi","A6","2004","298 100 km","2 393 cm3","Benzyna","177 KM","Sedan","Niebieski","19400"
"445","Mercedes-Benz","Klasa C","2005","314 000 km","2 148 cm3","Diesel","143 KM","Kombi","Złoty","13500"
"446","Citroën","C4 Picasso","2007","255 000 km","1 749 cm3","Benzyna","125 KM","Minivan","Niebieski","16900"
"447","Kia","Carens","2015","68 000 km","1 591 cm3","Benzyna","135 KM","Minivan","Szary","56900"
"448","Hyundai","i40","2012","217 810 km","1 685 cm3","Diesel","136 KM","Kombi","Szary","36900"
"449","Renault","Scenic","2005","230 000 km","1 461 cm3","Diesel","100 KM","Minivan","Szary","8900"
"450","Volkswagen","Golf","2015","59 600 km","1 395 cm3","Benzyna","150 KM","Kompakt","Beżowy","65900"
"451","Citroën","C3","2017","143 000 km","1 199 cm3","Benzyna","82 KM","Auta miejskie","Biały","41500"
"452","Mercedes-Benz","Klasa C","2004","190 000 km","1 796 cm3","Benzyna","163 KM","Coupe","Czarny","3900"
"453","Honda","CR-V","2018","97 000 km","1 597 cm3","Diesel","120 KM","SUV","Szary","90000"
"454","Toyota","Verso","2010","244 000 km","1 998 cm3","Diesel","126 KM","Minivan","Szary","27900"
"455","Renault","Modus","2005","165 000 km","1 461 cm3","Diesel","80 KM","Auta miejskie","Błękitny","7000"
"456","Kia","Rio","2020","25 900 km","998 cm3","Benzyna","101 KM","Kompakt","Srebrny","29900"
"457","Renault","Megane","2020","37 000 km","1 461 cm3","Diesel","116 KM","Kompakt","Czarny","44990"
"458","Volkswagen","Jetta","2016","158 832 km","1 968 cm3","Diesel","150 KM","Sedan","Biały","55000"
"459","Fiat","Panda","2006","66 423 km","1 242 cm3","Benzyna","60 KM","Kompakt","Czarny","16000"
"460","Audi","A3","2020","22 907 km","1 498 cm3","Benzyna","150 KM","Kompakt","Biały","91000"
"461","Volvo","V40","2015","163 055 km","1 969 cm3","Diesel","120 KM","Kompakt","Inny kolor","49900"
"462","Opel","Insignia","2014","290 000 km","1 956 cm3","Diesel","120 KM","Kombi","Srebrny","33500"
"463","Porsche","Cayenne","2018","184 000 km","2 995 cm3","Benzyna","340 KM","SUV","Biały","299000"
"464","Subaru","Forester","2003","220 000 km","1 994 cm3","Benzyna","177 KM","SUV","Złoty","12900"
"465","Renault","Trafic","2020","220 000 km","1 997 cm3","Diesel","145 KM","Minivan","Szary","123000"
"466","Nissan","Qashqai","2016","145 810 km","1 618 cm3","Benzyna","163 KM","SUV","Czarny","69900"
"467","Mercedes-Benz","Klasa S","1998","171 000 km","4 973 cm3","Benzyna","320 KM","Sedan","Czarny","39900"
"468","Mercedes-Benz","GLE","2018","88 000 km","2 996 cm3","Benzyna","333 KM","SUV","Srebrny","233900"
"469","Volkswagen","Passat","2011","169 000 km","1 798 cm3","Benzyna","160 KM","Sedan","Czarny","34500"
"470","Volvo","V40","2013","166 000 km","1 560 cm3","Diesel","115 KM","Kombi","Szary","43900"
"471","Mazda","6","2012","104 000 km","1 798 cm3","Benzyna","120 KM","Kombi","Szary","32800"
"472","Nissan","Qashqai","2011","209 000 km","1 997 cm3","Benzyna","140 KM","SUV","Czarny","35999"
"473","Volvo","XC 60","2018","156 000 km","1 969 cm3","Diesel","190 KM","SUV","Niebieski","122900"
"474","Citroën","C3 Picasso","2011","256 000 km","1 560 cm3","Diesel","92 KM","Kompakt","Czarny","17900"
"475","Opel","Astra","2005","270 000 km","1 910 cm3","Diesel","120 KM","Kombi","Srebrny","8900"
"476","Honda","Civic","2006","252 608 km","1 339 cm3","Benzyna","83 KM","Kompakt","Złoty","19900"
"477","Suzuki","XL7","2008","352 000 km","3 564 cm3","Benzyna+LPG","252 KM","SUV","Bordowy","23800"
"478","Ford","Focus","2019","63 436 km","999 cm3","Benzyna","125 KM","Kombi","Niebieski","75000"
"479","Audi","A4","2010","261 000 km","1 968 cm3","Diesel","170 KM","Kombi","Niebieski","36900"
"480","Peugeot","308","2011","171 000 km","1 560 cm3","Diesel","92 KM","Kombi","Czarny","20500"
"481","Peugeot","308","2011","171 000 km","1 560 cm3","Diesel","92 KM","Kombi","Czarny","20500"
"482","Volkswagen","Touran","2016","151 000 km","1 598 cm3","Diesel","110 KM","Minivan","Srebrny","61000"
"483","Peugeot","107","2006","130 533 km","998 cm3","Benzyna","68 KM","Auta małe","Czarny","10500"
"484","Peugeot","308","2014","199 744 km","1 560 cm3","Diesel","120 KM","Kombi","Szary","38700"
"485","Citroën","C5","2012","155 450 km","1 997 cm3","Diesel","163 KM","Sedan","Czarny","38900"
"486","Nissan","Qashqai","2007","222 000 km","1 997 cm3","Benzyna","141 KM","SUV","Srebrny","28900"
"487","Citroën","Xsara Picasso","2008","249 500 km","1 560 cm3","Diesel","110 KM","Minivan","Czarny","9900"
"488","Skoda","Octavia","2010","249 000 km","1 896 cm3","Diesel","100 KM","Sedan","Biały","17900"
"489","Skoda","Octavia","2016","195 000 km","1 598 cm3","Diesel","110 KM","Kombi","Srebrny","38500"
"490","Chrysler","Town & Country","2013","159 000 km","3 605 cm3","Benzyna","283 KM","Minivan","Srebrny","49900"
"491","Volkswagen","Passat","2009","245 000 km","1 968 cm3","Diesel","140 KM","Sedan","Czarny","24900"
"492","Ford","Kuga","2010","249 470 km","1 997 cm3","Diesel","136 KM","SUV","Biały","39900"
"493","Citroën","C5","2008","331 000 km","1 997 cm3","Diesel","140 KM","Sedan","Szary","16500"
"494","Suzuki","SX4","2007","220 000 km","1 560 cm3","Diesel","90 KM","Kompakt","Zielony","19800"
"495","Jeep","Cherokee","2015","68 000 km","3 239 cm3","Benzyna+LPG","272 KM","SUV","Szary","79000"
"496","Renault","Clio","2014","74 590 km","1 149 cm3","Benzyna","73 KM","Auta miejskie","Biały","36900"
"497","Audi","A6","1999","240 154 km","2 393 cm3","Benzyna","177 KM","Sedan","Bordowy","11900"
"498","Hyundai","Tucson","2007","226 218 km","1 975 cm3","Benzyna+LPG","141 KM","SUV","Czarny","23800"
"499","Kia","Soul","2009","133 440 km","1 582 cm3","Diesel","128 KM","SUV","Inny kolor","19900"
"500","Volvo","V60","2012","184 000 km","1 984 cm3","Diesel","163 KM","Kombi","Czarny","42600"
"501","Seat","Altea","2005","176 000 km","1 984 cm3","Benzyna","150 KM","Minivan","Szary","16489"
"502","Ford","EDGE","2018","119 000 km","2 700 cm3","Benzyna","360 KM","SUV","Czarny","116600"
"503","Mazda","2","2004","130 000 km","1 388 cm3","Benzyna","80 KM","Auta miejskie","Srebrny","10489"
"504","Toyota","RAV4","2018","41 434 km","1 987 cm3","Benzyna","152 KM","SUV","Szary","130000"
"505","Opel","Astra","2004","126 000 km","1 598 cm3","Benzyna","105 KM","Kompakt","Złoty","14889"
"506","Jeep","Grand Cherokee","2006","247 777 km","2 987 cm3","Diesel","218 KM","SUV","Srebrny","31500"
"507","Hyundai","ix35","2010","168 000 km","1 995 cm3","Diesel","136 KM","SUV","Czarny","36900"
"508","Renault","Trafic","2012","227 071 km","1 995 cm3","Diesel","114 KM","Minivan","Biały","36900"
"509","Opel","Insignia","2010","249 852 km","1 956 cm3","Diesel","110 KM","Sedan","Szary","28999"
"510","Audi","80","1993","420 000 km","1 896 cm3","Diesel","90 KM","Sedan","Granatowy","4400"
"511","Suzuki","Vitara","2019","29 000 km","998 cm3","Benzyna","111 KM","SUV","Czarny","94700"
"512","Citroën","C4 Picasso","2010","144 120 km","1 997 cm3","Diesel","150 KM","Kompakt","Czerwony","27999"
"513","BMW","Seria 3","2005","295 000 km","1 995 cm3","Diesel","163 KM","Sedan","Srebrny","24500"
"514","BMW","Seria 3","2012","194 000 km","1 995 cm3","Diesel","184 KM","Sedan","Czarny","80000"
"515","Nissan","Micra","2011","119 000 km","1 198 cm3","Benzyna","80 KM","Auta miejskie","Czarny","18500"
"516","Nissan","Qashqai+2","2010","195 344 km","1 995 cm3","Diesel","150 KM","SUV","Szary","38900"
"517","Hyundai","Santa Fe","2017","121 000 km","2 199 cm3","Diesel","197 KM","SUV","Czarny","72900"
"518","Mitsubishi","Lancer","2009","185 000 km","1 798 cm3","Benzyna+LPG","143 KM","Sedan","Srebrny","21500"
"519","Audi","A4","2010","232 329 km","1 968 cm3","Diesel","136 KM","Kombi","Szary","36900"
"520","Skoda","Fabia","2016","103 000 km","999 cm3","Benzyna+LPG","60 KM","Auta miejskie","Granatowy","30627"
"521","Seat","Ibiza","2009","215 000 km","1 422 cm3","Diesel","80 KM","Auta miejskie","Szary","14900"
"522","BMW","Seria 5","2012","257 000 km","2 993 cm3","Diesel","313 KM","Kombi","Czarny","75900"
"523","Volvo","V70","2012","230 000 km","2 400 cm3","Diesel","215 KM","Kombi","Szary","44500"
"524","BMW","X5","2010","298 800 km","2 993 cm3","Diesel","306 KM","SUV","Czarny","65000"
"525","Volkswagen","Touran","2007","216 412 km","1 896 cm3","Diesel","105 KM","Minivan","Srebrny","18500"
"526","Ford","Mondeo","2016","189 000 km","1 560 cm3","Diesel","115 KM","Sedan","Szary","55900"
"527","Citroën","C5","2009","219 000 km","1 560 cm3","Diesel","109 KM","Kombi","Srebrny","17700"
"528","Toyota","Avensis","2003","241 144 km","1 998 cm3","Benzyna","147 KM","Kombi","Beżowy","10900"
"529","Audi","A6","2015","280 000 km","1 968 cm3","Diesel","190 KM","Kombi","Czarny","72000"
"530","Toyota","RAV4","2005","278 000 km","1 995 cm3","Diesel","116 KM","SUV","Niebieski","17600"
"531","Citroën","DS4","2018","81 141 km","1 560 cm3","Diesel","120 KM","Kompakt","Szary","54999"
"532","Volkswagen","Golf","2004","269 321 km","1 896 cm3","Diesel","105 KM","Kompakt","Niebieski","11900"
"533","Dacia","Lodgy","2019","54 926 km","1 332 cm3","Benzyna","102 KM","Minivan","Srebrny","54900"
"534","Mercedes-Benz","Klasa C","2003","241 804 km","1 796 cm3","Benzyna+LPG","143 KM","Kombi","Srebrny","10999"
"535","Dacia","Duster","2022","29 000 km","999 cm3","Benzyna+LPG","100 KM","SUV","Biały","73700"
"536","BMW","X1","2012","168 500 km","1 997 cm3","Benzyna","245 KM","SUV","Czarny","53000"
"537","Volkswagen","Passat","2016","146 967 km","1 395 cm3","Benzyna","125 KM","Kombi","Niebieski","67900"
"538","Seat","Leon","2006","182 000 km","1 595 cm3","Benzyna+LPG","102 KM","Kompakt","Czarny","15500"
"539","Nissan","Qashqai","2011","184 802 km","1 598 cm3","Benzyna","117 KM","SUV","Biały","33000"
"540","Mitsubishi","ASX","2013","92 662 km","1 590 cm3","Benzyna","117 KM","SUV","Bordowy","48000"
"541","Honda","Civic","2008","232 006 km","2 204 cm3","Diesel","140 KM","Kompakt","Czerwony","15500"
"542","BMW","X5","2013","170 000 km","2 979 cm3","Benzyna","306 KM","SUV","Biały","77000"
"543","BMW","X3","2005","301 000 km","1 995 cm3","Diesel","150 KM","SUV","Szary","21000"
"544","Peugeot","308","2014","178 000 km","1 997 cm3","Diesel","150 KM","Kombi","Biały","45900"
"545","Skoda","Octavia","2019","103 000 km","1 968 cm3","Diesel","150 KM","Kombi","Inny kolor","89900"
"546","Kia","Stonic","2019","30 200 km","1 368 cm3","Benzyna","100 KM","Kombi","Biały","72000"
"547","Peugeot","Rifter","2018","126 855 km","1 499 cm3","Diesel","130 KM","Minivan","Szary","85500"
"548","Volkswagen","Sharan","2004","282 552 km","1 896 cm3","Diesel","130 KM","Minivan","Szary","11300"
"549","Subaru","Forester","2005","213 400 km","1 994 cm3","Benzyna","177 KM","SUV","Srebrny","24500"
"550","Ford","Mondeo","2017","182 356 km","1 999 cm3","Benzyna","240 KM","Sedan","Biały","65700"
"551","Peugeot","308","2014","100 170 km","1 598 cm3","Benzyna","125 KM","Kompakt","Czerwony","39500"
"552","Volkswagen","Tiguan","2009","159 500 km","1 390 cm3","Benzyna","150 KM","SUV","Czarny","39800"
"553","Mercedes-Benz","Klasa E","1994","158 287 km","2 199 cm3","Benzyna","150 KM","Coupe","Srebrny","28400"
"554","Ford","Escape","2017","147 000 km","1 999 cm3","Benzyna","242 KM","SUV","Brązowy","99500"
"555","Opel","Corsa","2021","6 390 km","1 199 cm3","Benzyna","75 KM","Auta miejskie","Pomarańczowy","39900"
"556","Suzuki","Swift","2017","52 000 km","1 242 cm3","Benzyna","90 KM","Auta miejskie","Niebieski","54500"
"557","Volvo","XC 60","2012","183 979 km","2 400 cm3","Diesel","163 KM","SUV","Czarny","60000"
"558","Mercedes-Benz","Klasa B","2009","201 147 km","1 991 cm3","Diesel","109 KM","Kompakt","Srebrny","25900"
"559","Toyota","Auris","2008","169 500 km","1 398 cm3","Benzyna","97 KM","Auta miejskie","Złoty","25500"
"560","Hyundai","Elantra","2013","69 800 km","1 591 cm3","Benzyna","132 KM","Sedan","Srebrny","45000"
"561","Kia","Sportage","2016","47 770 km","1 591 cm3","Benzyna","177 KM","SUV","Czerwony","81000"
"562","Toyota","Avensis","2008","232 000 km","2 231 cm3","Diesel","150 KM","Kombi","Czarny","25600"
"563","Hyundai","I30","2010","125 500 km","1 396 cm3","Benzyna","109 KM","Kompakt","Biały","22500"
"564","Audi","A4","2008","219 000 km","1 968 cm3","Diesel","143 KM","Sedan","Czarny","32500"
"565","Chrysler","Grand Voyager","2008","379 562 km","2 777 cm3","Diesel","163 KM","Minivan","Granatowy","24600"
"566","Audi","A4","2005","302 000 km","2 967 cm3","Diesel","204 KM","Kombi","Srebrny","15500"
"567","Toyota","Corolla","2020","11 600 km","1 197 cm3","Benzyna","116 KM","Sedan","Biały","89000"
"568","Opel","Insignia","2011","207 537 km","1 956 cm3","Diesel","160 KM","Sedan","Czarny","29900"
"569","Volkswagen","Golf","2007","211 000 km","1 595 cm3","Benzyna","102 KM","Kombi","Czarny","18900"
"570","Toyota","Auris","2008","225 000 km","1 598 cm3","Benzyna","124 KM","Kompakt","Srebrny","22900"
"571","Kia","Sportage","2010","171 000 km","1 998 cm3","Benzyna","163 KM","SUV","Czarny","51900"
"572","Honda","CR-V","2005","289 000 km","1 998 cm3","Benzyna","150 KM","SUV","Srebrny","21900"
"573","Citroën","Xsara Picasso","2005","215 000 km","1 749 cm3","Benzyna","117 KM","Minivan","Inny kolor","8900"
"574","Mercedes-Benz","GLK","2009","273 000 km","2 987 cm3","Diesel","224 KM","SUV","Biały","55900"
"575","Mitsubishi","ASX","2012","116 000 km","1 590 cm3","Benzyna","117 KM","SUV","Biały","46700"
"576","Jeep","Cherokee","1997","356 100 km","3 964 cm3","Benzyna+LPG","178 KM","SUV","Czarny","28000"
"577","Chevrolet","Captiva","2006","230 000 km","1 991 cm3","Diesel","150 KM","SUV","Czarny","23800"
"578","Nissan","Note","2006","208 407 km","1 461 cm3","Diesel","86 KM","Auta miejskie","Czarny","8600"
"579","Opel","Corsa","2019","167 000 km","1 398 cm3","Benzyna+LPG","90 KM","Auta miejskie","Czerwony","38745"
"580","BMW","X3","2010","161 144 km","1 995 cm3","Diesel","184 KM","SUV","Beżowy","57000"
"581","Ford","Kuga","2018","156 000 km","1 997 cm3","Diesel","150 KM","SUV","Granatowy","81979"
"582","Dacia","Lodgy","2013","179 000 km","1 598 cm3","Benzyna","84 KM","Minivan","Niebieski","24900"
"583","Opel","Mokka","2013","116 000 km","1 598 cm3","Benzyna","115 KM","SUV","Czarny","46900"
"584","Citroën","C5","2012","192 600 km","2 179 cm3","Diesel","204 KM","Kombi","Szary","36800"
"585","Renault","Zoe","2017","60 000 km","Elektryczny","40 KM","Kompakt","Biały","21900",NA
"586","Skoda","Octavia","2017","91 244 km","1 197 cm3","Benzyna","86 KM","Kompakt","Biały","49900"
"587","Opel","Mokka","2013","183 147 km","1 364 cm3","Benzyna","140 KM","SUV","Brązowy","48600"
"588","Audi","A4","2006","174 091 km","1 984 cm3","Benzyna","130 KM","Sedan","Granatowy","19500"
"589","Audi","A5","2009","175 800 km","1 984 cm3","Benzyna","180 KM","Coupe","Czarny","39900"
"590","Honda","Civic","2007","167 000 km","1 799 cm3","Benzyna","140 KM","Kompakt","Złoty","28900"
"591","Toyota","Corolla","2021","41 215 km","1 490 cm3","Benzyna","125 KM","Sedan","Szary","77000"
"592","Volvo","XC 60","2016","160 000 km","1 969 cm3","Diesel","190 KM","SUV","Szary","37900"
"593","Volkswagen","Passat","2018","176 007 km","1 984 cm3","Benzyna","220 KM","Sedan","Czarny","88800"
"594","Volkswagen","Passat","2012","182 000 km","1 968 cm3","Diesel","140 KM","Sedan","Czarny","49200"
"595","Mercedes-Benz","Vito","2014","182 677 km","2 143 cm3","Diesel","163 KM","Minivan","Biały","45500"
"596","Audi","A4","2008","249 000 km","1 968 cm3","Diesel","170 KM","Kombi","Niebieski","36900"
"597","Kia","Venga","2010","52 400 km","1 396 cm3","Benzyna","90 KM","Minivan","Czerwony","26000"
"598","Renault","Megane","2011","144 822 km","1 397 cm3","Benzyna","130 KM","Kombi","Czerwony","26500"
"599","Nissan","Qashqai","2012","119 603 km","1 461 cm3","Diesel","110 KM","SUV","Biały","40500"
"600","Peugeot","308","2015","115 099 km","1 560 cm3","Diesel","120 KM","Kombi","Niebieski","42900"
"601","Peugeot","3008","2014","205 000 km","1 560 cm3","Diesel","115 KM","SUV","Czarny","38900"
"602","Opel","Mokka","2022","1 km","1 199 cm3","Benzyna","130 KM","SUV","Biały","112900"
"603","Mercedes-Benz","GLC","2019","96 200 km","1 991 cm3","Benzyna","211 KM","SUV","Czarny","194700"
"604","Suzuki","SX4 S-Cross","2021","924 km","1 373 cm3","Hybryda","129 KM","SUV","Srebrny","131900"
"605","Renault","Clio","2021","19 328 km","1 000 cm3","Benzyna","90 KM","Auta małe","Czerwony","66900"
"606","Fiat","Grande Punto","2007","249 000 km","1 368 cm3","Benzyna","77 KM","Auta miejskie","Niebieski","9900"
"607","Volkswagen","Golf Sportsvan","2014","165 577 km","1 598 cm3","Diesel","110 KM","Minivan","Żółty","44900"
"608","Opel","Grandland X","2022","1 km","1 199 cm3","Benzyna","130 KM","SUV","Srebrny","130900"
"609","Renault","Captur","2021","21 088 km","1 000 cm3","Benzyna","90 KM","SUV","Biały","86900"
"610","Renault","Captur","2021","5 940 km","1 000 cm3","Benzyna+LPG","100 KM","SUV","Biały","85900"
"611","BMW","Seria 3","2015","110 000 km","1 995 cm3","Diesel","116 KM","Sedan","Czarny","62000"
"612","Audi","A4","2008","208 000 km","1 896 cm3","Diesel","115 KM","Kombi","Czarny","20900"
"613","Dacia","Duster","2023","9 km","999 cm3","Benzyna+LPG","100 KM","SUV","Zielony","86550"
"614","Mercedes-Benz","GL","2013","305 000 km","2 987 cm3","Diesel","258 KM","SUV","Czarny","190000"
"615","Audi","A6","2016","151 538 km","1 968 cm3","Diesel","190 KM","Kombi","Szary","119900"
"616","Peugeot","207","2010","199 000 km","1 560 cm3","Diesel","92 KM","Auta miejskie","Czarny","19500"
"617","Toyota","Avensis","2006","190 000 km","1 998 cm3","Benzyna","147 KM","Sedan","Srebrny","18000"
"618","BMW","Seria 5","2022","7 km","1 998 cm3","Hybryda","184 KM","Sedan","Niebieski","313380"
"619","Opel","Corsa","2014","260 090 km","1 229 cm3","Benzyna+LPG","85 KM","Auta miejskie","Biały","19500"
"620","Renault","Megane","2018","99 000 km","1 461 cm3","Diesel","110 KM","Kompakt","Biały","64821"
"621","BMW","Seria 5","2022","7 km","1 998 cm3","Hybryda","184 KM","Sedan","Biały","308700"
"622","Audi","A4","2002","268 000 km","2 976 cm3","Benzyna","220 KM","Kombi","Czarny","16500"
"623","Nissan","X-Trail","2004","260 959 km","2 184 cm3","Diesel","136 KM","SUV","Srebrny","16900"
"624","Volkswagen","Tiguan","2017","23 587 km","1 968 cm3","Diesel","150 KM","SUV","Biały","115900"
"625","Renault","Clio","2014","89 769 km","1 149 cm3","Benzyna","75 KM","Kompakt","Czarny","34500"
"626","Toyota","C-HR","2019","44 458 km","1 798 cm3","Hybryda","122 KM","SUV","Inny kolor","115900"
"627","Infiniti","QX70","2016","155 643 km","2 993 cm3","Diesel","240 KM","SUV","Biały","109900"
"628","Subaru","Outback","2014","190 000 km","2 498 cm3","Benzyna","173 KM","Kombi","Srebrny","58900"
"629","Chrysler","Pacifica","2004","369 400 km","3 518 cm3","Benzyna+LPG","253 KM","Minivan","Czarny","15900"
"630","Volvo","V60","2017","88 000 km","1 969 cm3","Diesel","120 KM","Kombi","Inny kolor","71900"
"631","Volvo","XC 60","2011","304 000 km","2 400 cm3","Diesel","205 KM","SUV","Czarny","53400"
"632","Chrysler","Town & Country","2011","220 000 km","3 605 cm3","Benzyna","283 KM","Minivan","Czarny","45900"
"633","Audi","A7","2015","130 000 km","2 967 cm3","Diesel","320 KM","Sedan","Czarny","185000"
"634","Ford","Mondeo","2002","290 000 km","1 998 cm3","Diesel","130 KM","Kombi","Zielony","4900"
"635","Skoda","Octavia","2010","223 000 km","1 798 cm3","Benzyna","160 KM","Kombi","Czarny","23500"
"636","Audi","A6","2005","265 000 km","2 393 cm3","Benzyna","177 KM","Kombi","Szary","20300"
"637","Volvo","S60","2014","118 000 km","1 969 cm3","Diesel","181 KM","Sedan","Czarny","62900"
"638","Ford","F150","2009","332 000 km","5 400 cm3","Benzyna","320 KM","SUV","Biały","83900"
"639","Mazda","6","2011","190 000 km","1 798 cm3","Benzyna","120 KM","Kombi","Srebrny","27900"
"640","Hyundai","ix35","2010","199 000 km","1 998 cm3","Benzyna","163 KM","SUV","Czarny","42900"
"641","BMW","X5","2014","136 000 km","2 993 cm3","Diesel","313 KM","SUV","Granatowy","148000"
"642","Opel","Astra","2011","199 000 km","1 398 cm3","Benzyna","100 KM","Kompakt","Srebrny","26900"
"643","Renault","Clio","2005","250 000 km","1 390 cm3","Benzyna+LPG","98 KM","Auta miejskie","Srebrny","10500"
"644","Toyota","Prius","2008","226 000 km","1 497 cm3","Hybryda","77 KM","Kompakt","Zielony","32500"
"645","Ford","Focus","2015","222 000 km","1 560 cm3","Diesel","115 KM","Kompakt","Szary","32900"
"646","Chevrolet","Cruze","2011","140 000 km","1 998 cm3","Diesel","163 KM","Kompakt","Beżowy","29900"
"647","Mercedes-Benz","Klasa C","2011","249 450 km","1 796 cm3","Benzyna","156 KM","Coupe","Srebrny","48200"
"648","Opel","Corsa","2019","117 100 km","1 364 cm3","Benzyna","100 KM","Auta miejskie","Biały","42900"
"649","Citroën","C5","2002","48 745 km","1 749 cm3","Benzyna","117 KM","Auta miejskie","Srebrny","18900"
"650","Fiat","Sedici","2010","151 000 km","1 586 cm3","Benzyna","120 KM","SUV","Srebrny","29900"
"651","Ford","Mondeo","2007","240 000 km","1 596 cm3","Benzyna+LPG","125 KM","Kombi","Zielony","19700"
"652","Ford","Focus","2005","169 258 km","1 388 cm3","Benzyna","80 KM","Kompakt","Granatowy","3999"
"653","Land Rover","Discovery","1999","230 000 km","2 495 cm3","Diesel","137 KM","SUV","Inny kolor","30000"
"654","Peugeot","308","2012","201 000 km","1 560 cm3","Diesel","112 KM","Kompakt","Biały","19900"
"655","Nissan","Qashqai","2016","69 000 km","1 197 cm3","Benzyna","115 KM","SUV","Szary","41900"
"656","Volkswagen","Golf","2008","320 000 km","1 896 cm3","Diesel","90 KM","Kompakt","Czarny","14700"
"657","Renault","Laguna","1999","245 000 km","1 870 cm3","Diesel","98 KM","Kombi","Zielony","3000"
"658","Volkswagen","Polo","2003","77 000 km","1 390 cm3","Benzyna","75 KM","Auta miejskie","Czarny","12900"
"659","Seat","Toledo","2000","456 696 km","1 896 cm3","Diesel","110 KM","Sedan","Bordowy","5000"
"660","Opel","Zafira","2007","290 000 km","1 910 cm3","Diesel","120 KM","Minivan","Inny kolor","10800"
"661","BMW","X3","2014","186 600 km","1 995 cm3","Diesel","190 KM","SUV","Srebrny","64900"
"662","Peugeot","308","2007","327 000 km","1 560 cm3","Diesel","109 KM","Auta miejskie","Srebrny","11700"
"663","Honda","City","2006","262 000 km","1 339 cm3","Benzyna","83 KM","Sedan","Beżowy","9650"
"664","Renault","Captur","2017","146 852 km","1 461 cm3","Diesel","90 KM","SUV","Brązowy","54900"
"665","Renault","Megane","2006","388 000 km","1 870 cm3","Diesel","130 KM","Kombi","Granatowy","5600"
"666","Renault","Laguna","2010","119 542 km","1 997 cm3","Benzyna","140 KM","Sedan","Szary","27900"
"667","Peugeot","508","2011","198 569 km","1 997 cm3","Diesel","163 KM","Kombi","Szary","33999"
"668","Citroën","DS5","2014","204 217 km","1 997 cm3","Diesel","163 KM","Sedan","Biały","45900"
"669","Dacia","Duster","2018","98 999 km","1 598 cm3","Benzyna+LPG","114 KM","SUV","Niebieski","56999"
"670","Mitsubishi","Space Star","2015","42 000 km","1 193 cm3","Benzyna","80 KM","Auta miejskie","Szary","35500"
