"id","Marka_pojazdu","Model_pojazdu","Rok_produkcji","Przebieg","Pojemność_skokowa","Rodzaj_paliwa","Moc","Typ_nadwozia","Kolor","Cena"
"232","Ford","S-Max","2011","246 211 km","1 997 cm3","Diesel","140 KM","Minivan","Inny kolor","38700"
"233","Ford","Focus","2012","107 000 km","1 596 cm3","Benzyna+LPG","105 KM","Kompakt","Inny kolor","35000"
"234","Hyundai","I30","2009","189 000 km","1 582 cm3","Diesel","90 KM","Kompakt","Czerwony","21999"
"235","Alfa Romeo","Mito","2011","215 000 km","1 368 cm3","Benzyna","170 KM","Auta małe","Czarny","27999"
"236","Porsche","Macan","2014","189 000 km","2 967 cm3","Diesel","258 KM","SUV","Szary","175000"
"237","Kia","Ceed","2007","297 752 km","1 582 cm3","Diesel","115 KM","Kombi","Czarny","14500"
"238","Subaru","Outback","2019","48 000 km","2 498 cm3","Benzyna","175 KM","Kombi","Bordowy","132000"
"239","BMW","X5 M","2014","175 000 km","2 993 cm3","Diesel","380 KM","SUV","Czerwony","166000"
"240","Volkswagen","Golf","2011","212 000 km","1 390 cm3","Benzyna","122 KM","Kompakt","Czarny","28500"
"241","Seat","Leon","2009","206 600 km","1 595 cm3","Benzyna","102 KM","Kompakt","Czarny","19200"
"242","Renault","Grand Scenic","2005","237 997 km","1 998 cm3","Benzyna","135 KM","Minivan","Szary","15900"
"243","Ford","Kuga","2010","225 000 km","1 997 cm3","Diesel","163 KM","SUV","Czarny","37300"
"244","Audi","A6 Allroad","2016","133 000 km","2 967 cm3","Diesel","320 KM","Kombi","Czarny","155581"
"245","Opel","Insignia","2015","327 000 km","1 956 cm3","Diesel","163 KM","Kombi","Czarny","33500"
"246","Volkswagen","Tiguan","2013","177 000 km","1 968 cm3","Diesel","140 KM","SUV","Brązowy","64000"
"247","Peugeot","308","2011","200 000 km","1 598 cm3","Benzyna","120 KM","Kombi","Czarny","17900"
"248","Honda","CR-V","1999","334 000 km","1 973 cm3","Benzyna","147 KM","Kombi","Czarny","7999"
"249","Renault","Laguna","2008","303 000 km","1 998 cm3","Benzyna+LPG","170 KM","Kombi","Czarny","19900"
"250","Volkswagen","Polo","2006","130 000 km","1 198 cm3","Benzyna","64 KM","Auta miejskie","Czarny","9900"
"251","Volvo","XC 90","2018","136 000 km","1 969 cm3","Diesel","235 KM","Kombi","Biały","184900"
"252","Ford","Kuga","2015","139 000 km","1 997 cm3","Diesel","150 KM","SUV","Biały","68900"
"253","MINI","Countryman","2011","219 400 km","1 598 cm3","Diesel","112 KM","SUV","Biały","35000"
"254","Audi","A6","2022","5 km","2 967 cm3","Diesel","286 KM","Kombi","Szary","397143"
"255","Volvo","XC 40","2020","103 008 km","1 969 cm3","Diesel","190 KM","Kombi","Czarny","163300"
"256","Hyundai","i40","2017","242 960 km","1 685 cm3","Diesel","116 KM","Kombi","Brązowy","38130"
"257","Seat","Ateca","2018","96 000 km","1 984 cm3","Benzyna","190 KM","SUV","Czarny","129000"
"258","Renault","Laguna","2010","206 000 km","1 461 cm3","Diesel","110 KM","Sedan","Szary","19900"
"259","Opel","Corsa","2018","20 624 km","1 229 cm3","Benzyna","70 KM","Kompakt","Szary","41500"
"260","Toyota","Yaris","2018","78 054 km","1 497 cm3","Benzyna","111 KM","Kompakt","Biały","49000"
"261","Renault","Megane","2009","119 827 km","1 397 cm3","Benzyna","130 KM","Kombi","Czarny","26000"
"262","Jeep","Cherokee","2018","97 000 km","3 239 cm3","Benzyna+LPG","272 KM","SUV","Czarny","89999"
"263","Peugeot","407","2006","259 794 km","1 749 cm3","Benzyna","125 KM","Sedan","Czarny","10400"
"264","Volvo","XC 60","2009","282 400 km","2 400 cm3","Diesel","175 KM","SUV","Niebieski","52900"
"265","Fiat","Tipo","2020","40 740 km","1 368 cm3","Benzyna","95 KM","Sedan","Czerwony","53500"
"266","Skoda","Superb","2017","177 000 km","1 598 cm3","Diesel","120 KM","Kombi","Biały","69999"
